season_number,episode_number_overall,episode_number,episode_title,episode_description,episode_airdate,episode_director,episode_writer,imdb_rating,imdb_votes,us_viewers_in_millions
1,1,1,Extreme Aggressor,The team travels to Seattle to find the captor of four missing women.,2005-09-22,Richard Shepard,Jeff Davis,7.8,2969,19.57
1,2,2,Compulsion,The team are called to an Arizona college when an arsonist who operates in a very unusual way kills a student.,2005-09-28,Charles Haid,Jeff Davis,7.6,2486,10.57
1,3,3,Won't Get Fooled Again,A bomber in Palm Beach forces Gideon to confront an old adversary.,2005-10-05,Kevin Bray,Aaron Zelman,7.6,2460,11.98
1,4,4,Plain Sight,A serial rapist-killer active in San Diego targeting middle class women glues his victims eyes open.,2005-10-12,Matt Earl Beesley,Edward Allen Bernero,7.7,2236,13.76
1,5,5,Broken Mirror,"One of a lawyer's identical twin daughters is kidnapped. The kidnapper contacts him and demands ransom money. The team's investigation, however, reveals that he doesn't really want the money, but both girls.",2005-10-19,Guy Norman Bee,Judith McCreary,7.9,2319,12.79
1,6,6,L.D.S.K.,"The team chases a sniper in Des Plaines, Illinois who for some reason only wounds his victims.",2005-11-02,Ernest Dickerson,Andrew Wilder,8.3,2854,16.22
1,7,7,The Fox,The team attempts to catch a killer who preys on families while they are supposed to be on vacation.,2005-11-09,Guy Norman Bee,Simon Mirren,7.9,2271,15.09
1,8,8,Natural Born Killer,The disappearance of an undercover officer in relation to a triple murder puts the BAU on the hunt of a possible serial killer who's turned it into a profession.,2005-11-16,Peter Ellis,Debra J. Fisher & Erica Messer,7.6,2176,14.36
1,9,9,Derailed,"A paranoid schizophrenic takes other passengers on a train hostage, including Elle.",2005-11-23,Félix Alcalá,Jeff Davis,7.8,2940,12.83
1,10,10,The Popular Kids,"The apparent death by Satanic ritual brings the BAU to a small town, and the profiling morphs into a search when it's learned that a teenage girl is missing.",2005-11-30,Andy Wolk,Edward Allen Bernero,7.5,2623,15.56
1,11,11,Blood Hungry,"The BAU team must profile a delusional killer in rural Tennessee, and a family member protecting him puts a child at risk.",2005-12-14,Charles Haid,Ed Napier,7.1,2751,15.23
1,12,12,What Fresh Hell?,"The team must determine whether an abducted girl is the pawn in a bitter divorce, or something more sinister has happened.",2006-01-11,Adam Davidson,Judith McCreary,7.4,1957,15.92
1,13,13,Poison,"The apparent spiking of citizens of a town in New Jersey, puts the BAU on the trail of a poisoner who may not be done.",2006-01-18,Thomas J. Wright,Aaron Zelman,7.3,2032,14.65
1,14,14,Riding the Lightning,The team of investigators interview husband and wife serial killers with their execution date set for two days time.,2006-01-25,Chris Long,Simon Mirren,8.5,3784,14.1
1,15,15,Unfinished Business,"When a serial killer reappears, the team works with a retired BAU agent who just published a book about the perpetrator.",2006-03-01,J. Miller Tobin,Debra J. Fisher & Erica Messer,7.7,2022,11.72
1,16,16,The Tribe,"The massacre of students using Native American rituals leads the team to consult the reservation policeman, who is also an activist.",2006-03-08,Matt Earl Beesley,Andrew Wilder,7.6,2217,15.27
1,17,17,A Real Rain,The team travels to Manhattan to work with the NYPD in tracking and apprehending a serial killer who is intent on dispensing his own style of vigilante justice.,2006-03-22,Gloria Muzio,Chris Mundy,7.6,2035,13.03
1,18,18,Somebody's Watching,"In town to conduct a seminar, Gideon and Reid become involved in a stalker case that has escalated to murder.",2006-03-29,Paul Shapiro,Ed Napier,8.2,3137,12.54
1,19,19,Machismo,The BAU is requested to assist on a case in Mexico to determine if there is a serial killer in the town of a police captain who attended one of Gideon's seminars.,2006-04-12,Guy Norman Bee,Aaron Zelman,7.2,2146,11.76
1,20,20,Charm and Harm,"Team members track a known ""chameleon"" serial killer across the southeastern U.S. trying to stop him before he kills again.",2006-04-19,Félix Alcalá,Debra J. Fisher & Erica Messer,7.5,1975,13.53
1,21,21,Secrets and Lies,"The BAU team investigates a CIA counter-terrorism unit to identify a traitor who had a fellow agent murdered and who is trying to find and kill the unit's informant, a Saudi woman with two children who are in hiding.",2006-05-03,Matt Earl Beesley,Simon Mirren,7.6,2645,12.17
1,22,22,"The Fisher King, Part 1",Team members become pawns of a psychopathic killer.,2006-05-10,Edward Allen Bernero,Edward Allen Bernero,8.5,2932,12.67
2,23,1,"The Fisher King, Part 2","Elle's fate is unknown, and the unsub continues dropping clues as the team scrambles to identify him before another tragedy occurs.",2006-09-20,Gloria Muzio,Edward Allen Bernero,8.6,2681,15.65
2,24,2,P911,The case of a missing boy placed up for auction online by a child pornographer draws the BAU team to work together with a former profiler who now works for the Innocent Images Unit to find the boy before the auction ends.,2006-09-27,Adam Davidson,Simon Mirren,7.9,1998,16.54
2,25,3,The Perfect Storm,"The BAU team investigates a series of murders in Florida, suspecting a partnership between two deviant persons with complementary personalities due to the nature of torture videos taken of the victims sent to the victims' parents.",2006-10-04,Félix Alcalá,Debra J. Fisher & Erica Messer,7.7,1811,15.19
2,26,4,Psychodrama,The team flies to Los Angeles to pursue a bank robber who is quickly disintegrating into an enraged sexually-motivated spree killer.,2006-10-11,Guy Norman Bee,Aaron Zelman,7.5,1960,16.73
2,27,5,Aftermath,"As the team assists in finding a rapist in Ohio, Elle's actions may compromise her career.",2006-10-18,Tim Matheson,Chris Mundy,7.6,2011,16.2
2,28,6,The Boogeyman,"While the team profiles a killer in a small town, Hotch must stay and deal with Elle who is beginning to unravel.",2006-10-25,Steve Boyum,Andi Bushell,7.8,2376,16.77
2,29,7,North Mammon,Three soccer stars are abducted and the unsub plays games while the B.A.U. desperately tries to narrow down the suspects.,2006-11-01,Matt Earl Beesley,Andrew Wilder,8.0,2122,16.97
2,30,8,Empty Planet,"When a bomber targets Seattle, the BAU has to determine if it's a protest group or an individual with a much different agenda.",2006-11-08,Elodie Keene,Ed Napier,7.6,1970,17.57
2,31,9,The Last Word,"Two serial killers send the BAU to St. Louis, and a new team member reports for duty.",2006-11-15,Gloria Muzio,Debra J. Fisher & Erica Messer,7.8,1912,16.48
2,32,10,Lessons Learned,"When a bomb is found at what was thought to be a drug lab the BAU is brought in, and while Hotch conducts a state-side investigation Gideon matches wits with a prisoner at Guantánamo Bay.",2006-11-22,Guy Norman Bee,Jim Clemente,8.3,2173,16.56
2,33,11,"Sex, Birth, Death","A young man seeks out Reid for help regarding his fantasies of killing prostitutes, just as a serial killer starts brutalizing prostitutes near the capitol.",2006-11-29,Gwyneth Horder-Payton,Chris Mundy,8.5,3037,17.92
2,34,12,"Profiler, Profiled","Derek is arrested as a serial killer, and the team must delve into his secrets in order to free him.",2006-12-13,Glenn Kershaw,Edward Allen Bernero,8.0,2240,16.06
2,35,13,No Way Out,"Gideon matches wits against the most prolific serial killer ever found, and the results are surprising.",2007-01-17,John Gallagher,Simon Mirren,8.3,2154,12.99
2,36,14,The Big Game,The slaughter of a wealthy couple just after a Super Bowl party puts the BAU on the trail of two killers.,2007-02-04,Gloria Muzio,Edward Allen Bernero,8.1,2118,26.31
2,37,15,Revelations,"Reid has been kidnapped, and the BAU's only things to profile are a house, a computer, and the live feed the kidnapper is sending to them.",2007-02-07,Guy Norman Bee,Chris Mundy,8.8,3419,16.27
2,38,16,Fear and Loathing,The death of four African-American girls in a a predominately white community brings the BAU in to try to solve the case before racial tensions explode into violence.,2007-02-14,Rob Spera,Aaron Zelman,7.5,1987,15.16
2,39,17,Distress,"The seemingly random killings in a Houston ward bring the BAU down for the profile, but finding the pattern proves difficult.",2007-02-21,John F. Showalter,Oanh Ly,7.7,1920,13.7
2,40,18,Jones,The BAU travels to New Orleans' French Quarter where a Jack the Ripper type serial killer is on the loose.,2007-02-28,Steve Shill,Andi Bushell,8.1,2730,14.5
2,41,19,Ashes and Dust,The team tries to identify a serial arsonist who has escalated to murder.,2007-03-21,John Gallagher,Andrew Wilder,7.7,1970,15.19
2,42,20,Honor Among Thieves,"The BAU finds themselves sparring with the Russian Mob, but even more puzzling is the behavior of one of the victims.",2007-04-11,Jesús Treviño,Aaron Zelman,7.1,2443,12.8
2,43,21,Open Season,The team is called to investigate when bodies of missing people are discovered in the Idaho wilderness. This leads the team to determine that the subjects they are profiling have been hunting humans for sport.,2007-05-02,Félix Alcalá,Debra J. Fisher & Erica Messer,7.9,2112,13.28
2,44,22,Legacy,"A detective presents himself at the BAU, asking for help because the homeless in his area have begun to disappear.",2007-05-09,Glenn Kershaw,Edward Allen Bernero,8.1,1976,12.92
2,45,23,"No Way Out, Part II: The Evilution of Frank","Frank is back on the hunt, and the team must protect Gideon while he profiles Frank again. Elsewhere, the team faces a review with some surprising results.",2007-05-16,Edward Allen Bernero,Simon Mirren,8.2,2666,13.21
3,46,1,Doubt,The team tries to identify a serial killer based on a shaky profile with devastating consequences.,2007-09-26,Gloria Muzio,Chris Mundy,7.6,1849,12.66
3,47,2,In Name and Blood,"With Gideon still missing, Hotchner puts in for a transfer and Prentiss tenders her resignation, but both are drawn back to work by a serial killer targeting women in a particularly heartless fashion.",2007-10-03,Edward Allen Bernero,Chris Mundy,7.9,1924,14.56
3,48,3,Scared to Death,The unit tracks a man working through his fears by working them out on others.,2007-10-10,Félix Alcalá,Debra J. Fisher & Erica Messer,7.6,1957,14.55
3,49,4,Children of the Dark,"The BAU travels to Denver, Colorado, where they investigate a series of home invasions that end in the murders of entire families. However, the case takes a turn when they begin to suspect that the killers were once-abused children.",2007-10-17,Guy Norman Bee,Dan Dworkin & Jay Beattie,7.9,1849,15.03
3,50,5,Seven Seconds,"The unit works against the clock when a little girl disappears in a mall, believing a serial killer has struck a second time and the first girl died within an hour of abduction.",2007-10-24,John Gallagher,Andi Bushell,8.2,2037,15.05
3,51,6,About Face,"The team gains a new, familiar. member and some growing pains while trying to find the latest victim of a killer who puts up wanted posters of his victims before he abducts them.",2007-10-31,Skipp Sudduth,Charles Murray,7.5,1837,14.94
3,52,7,Identity,The unit has to deal with the militia when they're called to rural Montana to track a killer who's obsessed with his mentor.,2007-11-07,Gwyneth Horder-Payton,Oanh Ly,7.4,1842,14.65
3,53,8,Lucky,"A killer is abducting women and forcing them to eat fingers before killing them, Rossi plays with Morgan's head, and Garcia meets a man at the local coffee shop.",2007-11-14,Steve Boyum,Andrew Wilder,8.2,2747,15.73
3,54,9,Penelope,More is learned about Garcia while the team tries to find the persistent unsub threatening her.,2007-11-21,Félix Alcalá,Chris Mundy,8.6,2927,15.88
3,55,10,True Night,"The team heads to LA to investigate a number of brutal killings which turn out to be related to the creator of a graphic novel, Jonny McHale.",2007-11-28,Edward Allen Bernero,Edward Allen Bernero,7.8,2158,16.23
3,56,11,Birthright,"The team travels to Fredericksburg, Virginia, where women are being abducted, burned and mutilated. Soon it turns out that similar killings happened in the 1980s.",2007-12-12,John Gallagher,Debra J. Fisher & Erica Messer,7.7,1892,14.18
3,57,12,3rd Life,"Two teenage girls go missing, one of which is soon found dead and freshly buried. The team soon suspects that the killings are related to the witness protection program.",2008-01-09,Anthony Hemingway,Simon Mirren,8.0,2071,14.3
